game_id,team,margin,players
0022301186,BOS,10.0,1628401;1628436;1629004;1629052;1629674;1630202;1630214;1630531;1630573;1631120;1641775;1641809
0022301173,BOS,33.0,1628401;1628436;1629004;1629052;1629674;1630202;1630214;1630531;1630573;1631120;1641775;1641809
0022301167,BOS,-9.0,201143;201950;204001;1627759;1628369;1628401;1628436;1629004;1630202;1630214;1630531;1630573
0022301148,BOS,-13.0,201143;201950;1627759;1628369;1628401;1628436;1629004;1629052;1630202;1630214;1630531;1630573
0022301134,BOS,17.0,201143;201950;204001;1627759;1628401;1628436;1629004;1629052;1630202;1630214;1630531;1630573
0022301118,BOS,1.0,201143;201950;204001;1628369;1628436;1629004;1629052;1630202;1630214;1630573;1641775;1641809
0022301105,BOS,35.0,201143;201950;204001;1627759;1628369;1628401;1628436;1629004;1629052;1630202;1630214;1630573
0022301087,BOS,14.0,201143;201950;204001;1628369;1628401;1628436;1629004;1629052;1630202;1630214;1630531;1630573
0022301074,BOS,12.0,201143;201950;204001;1627759;1628369;1628401;1628436;1629004;1629052;1630202;1630214;1630573
0022301060,BOS,-1.0,201143;201950;204001;1627759;1628369;1628401;1628436;1629004;1629052;1630202;1630214;1630573
0022301034,BOS,-2.0,201143;204001;1627759;1628369;1628401;1628436;1629004;1629052;1630202;1630531;1630573;1631120
0022301023,BOS,11.0,201143;1628369;1628401;1628436;1629004;1629052;1629674;1630202;1630214;1630531;1630573;1631120;1641775
0022301011,BOS,27.0,204001;1627759;1628401;1628436;1629004;1629052;1629674;1630202;1630214;1630531;1630573;1631120;1641775
0022300998,BOS,3.0,201143;204001;1627759;1628369;1628401;1628436;1629004;1629052;1630202;1630214;1630531;1641809
0022300984,BOS,25.0,204001;1627759;1628401;1628436;1629004;1629052;1629674;1630202;1630214;1630531;1641775;1641809
0022300980,BOS,26.0,201143;201950;1627759;1628369;1628436;1629004;1629052;1629674;1630202;1630214;1630531;1630573
0022300955,BOS,15.0,201143;201950;1627759;1628369;1628401;1628436;1629004;1629052;1629674;1630202;1630214;1630531;1630573
0022300943,BOS,16.0,201950;1628369;1628401;1628436;1629004;1629052;1629674;1630202;1630214;1630531;1630573;1631120
0022300938,BOS,22.0,201143;1627759;1628369;1628401;1628436;1629052;1629674;1630202;1630214;1630531;1630573;1631120
0022300920,BOS,10.0,201143;201950;1627759;1628369;1628401;1628436;1629004;1629052;1630202;1630214;1630531;1630573;1631120
0022300906,BOS,-6.0,201143;201950;204001;1627759;1628369;1628401;1628436;1629004;1629052;1630202;1630214;1630531;1630573
0022300886,BOS,-1.0,201143;201950;204001;1627759;1628369;1628401;1628436;1629004;1629052;1630202;1630531;1630573;1641775
0022300872,BOS,52.0,201143;201950;1627759;1628369;1628401;1628436;1629004;1629052;1630202;1630214;1630531;1630573
0022300859,BOS,28.0,201143;201950;204001;1627759;1628369;1628401;1628436;1629004;1629052;1630202;1630214;1630531;1630573
