game_id,team,margin,players
0022101223,BOS,29.0,201143;203935;1627759;1628369;1628401;1628436;1628464;1629684;1630174;1630202;1630238;1630271;1630346;1630573
0022101198,BOS,-6.0,203935;1627759;1628401;1628436;1628464;1629684;1630174;1630202;1630238;1630271;1630346;1630573
0022101193,BOS,23.0,201143;203935;1627759;1628369;1628401;1628436;1628464;1629684;1630174;1630202;1630238;1630271;1630346;1630573
0022101166,BOS,42.0,201143;203935;1627759;1628369;1628401;1628436;1628464;1629684;1629752;1630174;1630202;1630238;1630573
0022101153,BOS,5.0,201143;203935;1627759;1628369;1628401;1628436;1628464;1629684;1629752;1630174;1630202;1630271
0022101139,BOS,-8.0,201143;203917;203935;1627759;1628369;1628401;1628436;1628464;1629684;1629752;1630174;1630202;1630238;1630271;1630573
0022101127,BOS,-3.0,203917;203935;1628401;1628436;1628464;1629684;1629752;1630174;1630202;1630238;1630271;1630346;1630573
0022101116,BOS,22.0,203935;1627759;1628369;1628401;1628436;1628464;1629057;1629684;1630174;1630202;1630573
0022101087,BOS,28.0,201143;203917;203935;1627759;1628369;1628401;1628436;1628464;1629057;1629684;1630174;1630202;1630238;1630271;1630573
0022101078,BOS,9.0,201143;203917;1627759;1628369;1628401;1628436;1628464;1629684;1630174;1630202;1630238;1630271;1630573
0022101068,BOS,20.0,201143;203917;203935;1627759;1628369;1628401;1628436;1628464;1629057;1629684;1630202;1630238;1630573
0022101057,BOS,29.0,201143;203917;203935;1627759;1628369;1628401;1628464;1629057;1629684;1630202;1630238;1630573
0022101042,BOS,22.0,201143;203917;203935;1627759;1628369;1628401;1628464;1629057;1629684;1630202;1630238;1630573
0022101014,BOS,-3.0,201143;203917;203935;1627759;1628369;1628401;1628436;1628464;1629057;1629103;1629684;1630202;1630238;1630573
0022100997,BOS,11.0,201143;203917;203935;1627759;1628369;1628401;1628464;1629057;1629103;1629684;1630202;1630238;1630573
0022100981,BOS,14.0,201143;203917;203935;1627759;1628369;1628401;1628436;1628464;1629057;1629103;1629684;1630202;1630238;1630573
0022100960,BOS,6.0,201143;203917;203935;1627759;1628369;1628401;1628436;1628464;1629057;1629103;1629684;1630202;1630238;1630573
0022100940,BOS,13.0,201143;203935;1628369;1628401;1628436;1628464;1629057;1629103;1629684;1630174;1630202;1630238;1630573
